job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list
数据分析师,计算机软件,上海市,16.25,SPSS;半导体电子行业优先;SQL;Python,1-3年,本科,其他;数据库;后端开发,spss;半导体电子行业优先;sql;python,"['spss', '半导体电子行业优先', 'sql', 'python']"
数据分析师,互联网,上海市,36.0,Python,5-10年,本科,后端开发,python,['python']
商业化数据分析师(A197295),社交网络,上海市,48.0,SQL;Python,经验不限,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,广告营销,上海市,21.0,Tableau;相关分析;因子分析;效度分析;Excel;SPSS,1-3年,本科,其他;大数据,tableau;相关分析;因子分析;效度分析;excel;spss,"['tableau', '相关分析', '因子分析', '效度分析', 'excel', 'spss']"
数据分析leader,互联网,上海市,120.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析负责人,互联网,上海市,104.0,SQL,10年以上,本科,数据库,sql,['sql']
数据分析师（工作地宁波）,咨询,上海市,15.0,Python;SQL,1-3年,本科,后端开发;数据库,python;sql,"['python', 'sql']"
数据分析师,通信/网络设备,上海市,21.6,Tableau;Power BI;UBA、CDP、BI、MA,5-10年,本科,其他;大数据,tableau;power bi;uba、cdp、bi、ma,"['tableau', 'power bi', 'uba、cdp、bi、ma']"
数据分析师,互联网,上海市,14.3,SQL;Power BI;Tableau;广告,3-5年,本科,其他;数据库;大数据,sql;power bi;tableau;广告,"['sql', 'power bi', 'tableau', '广告']"
数据分析师,游戏,上海市,21.0,FineReport;信息采集整理分析能力;数据可视化,3-5年,本科,其他;大数据,finereport;信息采集整理分析能力;数据可视化,"['finereport', '信息采集整理分析能力', '数据可视化']"
数据分析师（AI方向）,计算机服务,上海市,15.0,SQL;数据分析;业务理解;零售业务分析;AI提示词;大模型调优,1-3年,本科,其他;数据库;大数据,sql;数据分析;业务理解;零售业务分析;ai提示词;大模型调优,"['sql', '数据分析', '业务理解', '零售业务分析', 'ai提示词', '大模型调优']"
数据分析师（信贷）,互联网,上海市,42.0,SQL,3-5年,本科,数据库,sql,['sql']
数据分析师（DA）,互联网,上海市,26.0,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师（英语口语）,企业服务,上海市,33.15,SQL;Python;英语,5-10年,本科,数据库;后端开发;其他,sql;python;英语,"['sql', 'python', '英语']"
固定资产及数据分析师,广告/公关/会展,上海市,15.0,固定资产管理;投资标的的调研、选择;中介机构、银行等合作;资产包运作杠杆管理,1-3年,本科,其他,固定资产管理;投资标的的调研、选择;中介机构、银行等合作;资产包运作杠杆管理,"['固定资产管理', '投资标的的调研、选择', '中介机构、银行等合作', '资产包运作杠杆管理']"
资深数据分析师,医疗健康,上海市,13.2,连锁零售门店,1-3年,大专,其他,连锁零售门店,['连锁零售门店']
微信域 数据分析师,互联网,上海市,45.0,,经验不限,本科,,,['']
霸王茶姬-数据分析师-上海(A06148),餐饮,上海市,38.5,SQL;Python,经验不限,本科,数据库;后端开发,sql;python,"['sql', 'python']"
高级数据分析师,大数据,上海市,24.0,,3-5年,本科,,,['']
数据分析师,餐饮,上海市,39.0,,5-10年,本科,,,['']
跨境电商数据分析师,进出口贸易,上海市,12.6,电商运营 数据分析,3-5年,本科,大数据,电商运营 数据分析,['电商运营 数据分析']
数据分析师,游戏,上海市,27.95,,1-3年,本科,,,['']
数据分析师,证券/期货,上海市,51.0,Excel;参数检验;决策树,3-5年,硕士,其他,excel;参数检验;决策树,"['excel', '参数检验', '决策树']"
数据分析师,互联网,上海市,35.0,Tableau;SPSS;MATLAB;SQL,3-5年,大专,其他;大数据;数据库,tableau;spss;matlab;sql,"['tableau', 'spss', 'matlab', 'sql']"
