job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list,skill_single
测试工程师,家用电器,宁波市,21.0,功能测试;性能测试;小家电;咖啡机,3-5年,大专,测试;其他,功能测试;性能测试;小家电;咖啡机,功能测试,功能测试
测试工程师,家用电器,宁波市,21.0,功能测试;性能测试;小家电;咖啡机,3-5年,大专,测试;其他,功能测试;性能测试;小家电;咖啡机,性能测试,性能测试
测试工程师,家用电器,宁波市,21.0,功能测试;性能测试;小家电;咖啡机,3-5年,大专,测试;其他,功能测试;性能测试;小家电;咖啡机,小家电,小家电
测试工程师,家用电器,宁波市,21.0,功能测试;性能测试;小家电;咖啡机,3-5年,大专,测试;其他,功能测试;性能测试;小家电;咖啡机,咖啡机,咖啡机
车载测试工程师,广告/公关/会展,杭州市,12.6,canoe;车载;功能测试,3-5年,本科,其他;测试,canoe;车载;功能测试,canoe,canoe
车载测试工程师,广告/公关/会展,杭州市,12.6,canoe;车载;功能测试,3-5年,本科,其他;测试,canoe;车载;功能测试,车载,车载
车载测试工程师,广告/公关/会展,杭州市,12.6,canoe;车载;功能测试,3-5年,本科,其他;测试,canoe;车载;功能测试,功能测试,功能测试
"TE工程师/测试工程师,50081835",其他行业,宁波市,16.8,FCT;ICT,5-10年,大专,其他,fct;ict,fct,fct
"TE工程师/测试工程师,50081835",其他行业,宁波市,16.8,FCT;ICT,5-10年,大专,其他,fct;ict,ict,ict
测试工程师（净水行业）,生活服务(O2O),宁波市,15.0,功能测试;LabView;净水行业,5-10年,大专,其他;测试,功能测试;labview;净水行业,功能测试,功能测试
测试工程师（净水行业）,生活服务(O2O),宁波市,15.0,功能测试;LabView;净水行业,5-10年,大专,其他;测试,功能测试;labview;净水行业,labview,labview
测试工程师（净水行业）,生活服务(O2O),宁波市,15.0,功能测试;LabView;净水行业,5-10年,大专,其他;测试,功能测试;labview;净水行业,净水行业,净水行业
测试工程师,家具/家电/家居,宁波市,8.4,功能测试,1-3年,大专,测试,功能测试,功能测试,功能测试
高级测试工程师,其他制造业,宁波市,13.0,性能测试;功能测试;嵌入式测试;逆变器测试;LabView,3-5年,大专,测试;其他,性能测试;功能测试;嵌入式测试;逆变器测试;labview,性能测试,性能测试
高级测试工程师,其他制造业,宁波市,13.0,性能测试;功能测试;嵌入式测试;逆变器测试;LabView,3-5年,大专,测试;其他,性能测试;功能测试;嵌入式测试;逆变器测试;labview,功能测试,功能测试
高级测试工程师,其他制造业,宁波市,13.0,性能测试;功能测试;嵌入式测试;逆变器测试;LabView,3-5年,大专,测试;其他,性能测试;功能测试;嵌入式测试;逆变器测试;labview,嵌入式测试,嵌入式测试
高级测试工程师,其他制造业,宁波市,13.0,性能测试;功能测试;嵌入式测试;逆变器测试;LabView,3-5年,大专,测试;其他,性能测试;功能测试;嵌入式测试;逆变器测试;labview,逆变器测试,逆变器测试
高级测试工程师,其他制造业,宁波市,13.0,性能测试;功能测试;嵌入式测试;逆变器测试;LabView,3-5年,大专,测试;其他,性能测试;功能测试;嵌入式测试;逆变器测试;labview,labview,labview
轻工玩具物理测试工程师（双休）,企业服务,宁波市,9.75,功能测试;性能测试,1-3年,大专,测试,功能测试;性能测试,功能测试,功能测试
轻工玩具物理测试工程师（双休）,企业服务,宁波市,9.75,功能测试;性能测试,1-3年,大专,测试,功能测试;性能测试,性能测试,性能测试
座舱测试工程师,计算机软件,杭州市,14.95,canoe;信息娱乐,5-10年,大专,其他,canoe;信息娱乐,canoe,canoe
座舱测试工程师,计算机软件,杭州市,14.95,canoe;信息娱乐,5-10年,大专,其他,canoe;信息娱乐,信息娱乐,信息娱乐
测试工程师,家具/家电/家居,宁波市,9.0,性能测试;功能测试,1-3年,大专,测试,性能测试;功能测试,性能测试,性能测试
测试工程师,家具/家电/家居,宁波市,9.0,性能测试;功能测试,1-3年,大专,测试,性能测试;功能测试,功能测试,功能测试
测试工程师(充电桩),电子商务,宁波市,30.0,充电桩,5-10年,本科,其他,充电桩,充电桩,充电桩
测试工程师,家具/家电/家居,宁波市,8.4,性能测试,1-3年,大专,测试,性能测试,性能测试,性能测试
pcb测试工程师,原材料及加工/模具,宁波市,10.8,功能测试;性能测试;充气泵;吸尘器,3-5年,本科,测试;其他,功能测试;性能测试;充气泵;吸尘器,功能测试,功能测试
pcb测试工程师,原材料及加工/模具,宁波市,10.8,功能测试;性能测试;充气泵;吸尘器,3-5年,本科,测试;其他,功能测试;性能测试;充气泵;吸尘器,性能测试,性能测试
pcb测试工程师,原材料及加工/模具,宁波市,10.8,功能测试;性能测试;充气泵;吸尘器,3-5年,本科,测试;其他,功能测试;性能测试;充气泵;吸尘器,充气泵,充气泵
pcb测试工程师,原材料及加工/模具,宁波市,10.8,功能测试;性能测试;充气泵;吸尘器,3-5年,本科,测试;其他,功能测试;性能测试;充气泵;吸尘器,吸尘器,吸尘器
性能测试工程师,医疗健康,宁波市,10.5,性能测试,经验不限,本科,测试,性能测试,性能测试,性能测试
测试工程师（宁波湾驻场测试）,汽车零部件,杭州市,12.6,自动化测试;性能测试;功能测试,1-3年,大专,测试,自动化测试;性能测试;功能测试,自动化测试,自动化测试
测试工程师（宁波湾驻场测试）,汽车零部件,杭州市,12.6,自动化测试;性能测试;功能测试,1-3年,大专,测试,自动化测试;性能测试;功能测试,性能测试,性能测试
测试工程师（宁波湾驻场测试）,汽车零部件,杭州市,12.6,自动化测试;性能测试;功能测试,1-3年,大专,测试,自动化测试;性能测试;功能测试,功能测试,功能测试
软件测试工程师,仪器仪表/工业自动化,宁波市,6.0,软件测试;功能测试;性能测试,经验不限,大专,测试,软件测试;功能测试;性能测试,软件测试,软件测试
软件测试工程师,仪器仪表/工业自动化,宁波市,6.0,软件测试;功能测试;性能测试,经验不限,大专,测试,软件测试;功能测试;性能测试,功能测试,功能测试
软件测试工程师,仪器仪表/工业自动化,宁波市,6.0,软件测试;功能测试;性能测试,经验不限,大专,测试,软件测试;功能测试;性能测试,性能测试,性能测试
PCS测试工程师,新能源,宁波市,31.5,性能测试;功能测试,3-5年,大专,测试,性能测试;功能测试,性能测试,性能测试
PCS测试工程师,新能源,宁波市,31.5,性能测试;功能测试,3-5年,大专,测试,性能测试;功能测试,功能测试,功能测试
测试工程师（双休）,互联网,宁波市,11.05,性能测试;功能测试;掌握软件测试理论和流程,1-3年,本科,测试,性能测试;功能测试;掌握软件测试理论和流程,性能测试,性能测试
测试工程师（双休）,互联网,宁波市,11.05,性能测试;功能测试;掌握软件测试理论和流程,1-3年,本科,测试,性能测试;功能测试;掌握软件测试理论和流程,功能测试,功能测试
测试工程师（双休）,互联网,宁波市,11.05,性能测试;功能测试;掌握软件测试理论和流程,1-3年,本科,测试,性能测试;功能测试;掌握软件测试理论和流程,掌握软件测试理论和流程,掌握软件测试理论和流程
软件测试工程师,汽车零部件,宁波市,32.5,黑盒;白盒,3-5年,本科,测试,黑盒;白盒,黑盒,黑盒
软件测试工程师,汽车零部件,宁波市,32.5,黑盒;白盒,3-5年,本科,测试,黑盒;白盒,白盒,白盒
测试工程师,铁路/船舶/航空/航天制造,宁波市,10.2,测试工程师,1年经验,本科,测试,测试工程师,测试工程师,测试工程师
测试工程师,自动化设备,宁波市,21.6,自动化测试,1-3年,大专,测试,自动化测试,自动化测试,自动化测试
测试工程师,医疗健康,宁波市,10.8,软件测试;功能测试,1-3年,本科,测试,软件测试;功能测试,软件测试,软件测试
测试工程师,医疗健康,宁波市,10.8,软件测试;功能测试,1-3年,本科,测试,软件测试;功能测试,功能测试,功能测试
adas测试工程师,汽车零部件,宁波市,27.0,功能测试,3-5年,本科,测试,功能测试,功能测试,功能测试
软件测试工程师,汽车零部件,杭州市,10.8,ECU;hil;标定;canoe,1-3年,大专,其他,ecu;hil;标定;canoe,ecu,ecu
软件测试工程师,汽车零部件,杭州市,10.8,ECU;hil;标定;canoe,1-3年,大专,其他,ecu;hil;标定;canoe,hil,hil
软件测试工程师,汽车零部件,杭州市,10.8,ECU;hil;标定;canoe,1-3年,大专,其他,ecu;hil;标定;canoe,标定,标定
软件测试工程师,汽车零部件,杭州市,10.8,ECU;hil;标定;canoe,1-3年,大专,其他,ecu;hil;标定;canoe,canoe,canoe
测试工程师,其他生活服务,宁波市,9.6,自动化测试;性能测试,1-3年,本科,测试,自动化测试;性能测试,自动化测试,自动化测试
测试工程师,其他生活服务,宁波市,9.6,自动化测试;性能测试,1-3年,本科,测试,自动化测试;性能测试,性能测试,性能测试
硬件测试工程师,自动化设备,宁波市,9.75,自动化测试;功能测试;掌握软件测试理论和流程,1-3年,大专,测试,自动化测试;功能测试;掌握软件测试理论和流程,自动化测试,自动化测试
硬件测试工程师,自动化设备,宁波市,9.75,自动化测试;功能测试;掌握软件测试理论和流程,1-3年,大专,测试,自动化测试;功能测试;掌握软件测试理论和流程,功能测试,功能测试
硬件测试工程师,自动化设备,宁波市,9.75,自动化测试;功能测试;掌握软件测试理论和流程,1-3年,大专,测试,自动化测试;功能测试;掌握软件测试理论和流程,掌握软件测试理论和流程,掌握软件测试理论和流程
测试工程师,检测/认证/知识产权,宁波市,6.0,性能测试;功能测试,1-3年,大专,测试,性能测试;功能测试,性能测试,性能测试
测试工程师,检测/认证/知识产权,宁波市,6.0,性能测试;功能测试,1-3年,大专,测试,性能测试;功能测试,功能测试,功能测试
测试工程师,互联网,杭州市,12.6,功能测试;Python;Java,3-5年,大专,测试;后端开发;前端开发,功能测试;python;java,功能测试,功能测试
测试工程师,互联网,杭州市,12.6,功能测试;Python;Java,3-5年,大专,测试;后端开发;前端开发,功能测试;python;java,python,python
测试工程师,互联网,杭州市,12.6,功能测试;Python;Java,3-5年,大专,测试;后端开发;前端开发,功能测试;python;java,java,java
软件测试工程师,计算机软件,宁波市,13.8,Shell;自动化测试;Linx;性能测试;功能测试;Selenium,3-5年,本科,测试;运维/DevOps;其他,shell;自动化测试;linx;性能测试;功能测试;selenium,shell,shell
软件测试工程师,计算机软件,宁波市,13.8,Shell;自动化测试;Linx;性能测试;功能测试;Selenium,3-5年,本科,测试;运维/DevOps;其他,shell;自动化测试;linx;性能测试;功能测试;selenium,自动化测试,自动化测试
软件测试工程师,计算机软件,宁波市,13.8,Shell;自动化测试;Linx;性能测试;功能测试;Selenium,3-5年,本科,测试;运维/DevOps;其他,shell;自动化测试;linx;性能测试;功能测试;selenium,linx,linx
软件测试工程师,计算机软件,宁波市,13.8,Shell;自动化测试;Linx;性能测试;功能测试;Selenium,3-5年,本科,测试;运维/DevOps;其他,shell;自动化测试;linx;性能测试;功能测试;selenium,性能测试,性能测试
软件测试工程师,计算机软件,宁波市,13.8,Shell;自动化测试;Linx;性能测试;功能测试;Selenium,3-5年,本科,测试;运维/DevOps;其他,shell;自动化测试;linx;性能测试;功能测试;selenium,功能测试,功能测试
软件测试工程师,计算机软件,宁波市,13.8,Shell;自动化测试;Linx;性能测试;功能测试;Selenium,3-5年,本科,测试;运维/DevOps;其他,shell;自动化测试;linx;性能测试;功能测试;selenium,selenium,selenium
无人机动力测试工程师,铁路/船舶/航空/航天制造,宁波市,21.6,自动化测试;性能测试;压力测试;功能测试,1-3年,本科,测试,自动化测试;性能测试;压力测试;功能测试,自动化测试,自动化测试
无人机动力测试工程师,铁路/船舶/航空/航天制造,宁波市,21.6,自动化测试;性能测试;压力测试;功能测试,1-3年,本科,测试,自动化测试;性能测试;压力测试;功能测试,性能测试,性能测试
无人机动力测试工程师,铁路/船舶/航空/航天制造,宁波市,21.6,自动化测试;性能测试;压力测试;功能测试,1-3年,本科,测试,自动化测试;性能测试;压力测试;功能测试,压力测试,压力测试
无人机动力测试工程师,铁路/船舶/航空/航天制造,宁波市,21.6,自动化测试;性能测试;压力测试;功能测试,1-3年,本科,测试,自动化测试;性能测试;压力测试;功能测试,功能测试,功能测试
ADAS功能测试工程师,汽车智能网联,杭州市,15.0,功能测试;ACC;NOA;APA;AVP;ADAS,1-3年,本科,其他;测试,功能测试;acc;noa;apa;avp;adas,功能测试,功能测试
ADAS功能测试工程师,汽车智能网联,杭州市,15.0,功能测试;ACC;NOA;APA;AVP;ADAS,1-3年,本科,其他;测试,功能测试;acc;noa;apa;avp;adas,acc,acc
ADAS功能测试工程师,汽车智能网联,杭州市,15.0,功能测试;ACC;NOA;APA;AVP;ADAS,1-3年,本科,其他;测试,功能测试;acc;noa;apa;avp;adas,noa,noa
ADAS功能测试工程师,汽车智能网联,杭州市,15.0,功能测试;ACC;NOA;APA;AVP;ADAS,1-3年,本科,其他;测试,功能测试;acc;noa;apa;avp;adas,apa,apa
ADAS功能测试工程师,汽车智能网联,杭州市,15.0,功能测试;ACC;NOA;APA;AVP;ADAS,1-3年,本科,其他;测试,功能测试;acc;noa;apa;avp;adas,avp,avp
ADAS功能测试工程师,汽车智能网联,杭州市,15.0,功能测试;ACC;NOA;APA;AVP;ADAS,1-3年,本科,其他;测试,功能测试;acc;noa;apa;avp;adas,adas,adas
车载测试工程师,计算机软件,杭州市,15.0,车载测试;智能驾驶;整车,3-5年,本科,其他;测试,车载测试;智能驾驶;整车,车载测试,车载测试
车载测试工程师,计算机软件,杭州市,15.0,车载测试;智能驾驶;整车,3-5年,本科,其他;测试,车载测试;智能驾驶;整车,智能驾驶,智能驾驶
车载测试工程师,计算机软件,杭州市,15.0,车载测试;智能驾驶;整车,3-5年,本科,其他;测试,车载测试;智能驾驶;整车,整车,整车
嵌入式软件测试工程师,其他行业,宁波市,11.4,功能测试;自动化测试;嵌入式测试;嵌入式测试,3-5年,本科,测试,功能测试;自动化测试;嵌入式测试;嵌入式测试,功能测试,功能测试
嵌入式软件测试工程师,其他行业,宁波市,11.4,功能测试;自动化测试;嵌入式测试;嵌入式测试,3-5年,本科,测试,功能测试;自动化测试;嵌入式测试;嵌入式测试,自动化测试,自动化测试
嵌入式软件测试工程师,其他行业,宁波市,11.4,功能测试;自动化测试;嵌入式测试;嵌入式测试,3-5年,本科,测试,功能测试;自动化测试;嵌入式测试;嵌入式测试,嵌入式测试,嵌入式测试
嵌入式软件测试工程师,其他行业,宁波市,11.4,功能测试;自动化测试;嵌入式测试;嵌入式测试,3-5年,本科,测试,功能测试;自动化测试;嵌入式测试;嵌入式测试,嵌入式测试,嵌入式测试
储能测试工程师（储能研发岗位多地都有）,新能源,宁波市,30.0,功能测试;性能测试,5-10年,本科,测试,功能测试;性能测试,功能测试,功能测试
储能测试工程师（储能研发岗位多地都有）,新能源,宁波市,30.0,功能测试;性能测试,5-10年,本科,测试,功能测试;性能测试,性能测试,性能测试
测试工程师,互联网,宁波市,9.6,性能测试;功能测试;Java;Python,3-5年,本科,测试;前端开发;后端开发,性能测试;功能测试;java;python,性能测试,性能测试
测试工程师,互联网,宁波市,9.6,性能测试;功能测试;Java;Python,3-5年,本科,测试;前端开发;后端开发,性能测试;功能测试;java;python,功能测试,功能测试
测试工程师,互联网,宁波市,9.6,性能测试;功能测试;Java;Python,3-5年,本科,测试;前端开发;后端开发,性能测试;功能测试;java;python,java,java
测试工程师,互联网,宁波市,9.6,性能测试;功能测试;Java;Python,3-5年,本科,测试;前端开发;后端开发,性能测试;功能测试;java;python,python,python
测试工程师,电子商务,宁波市,9.6,质量;测试;纺织品,3-5年,大专,其他;测试,质量;测试;纺织品,质量,质量
测试工程师,电子商务,宁波市,9.6,质量;测试;纺织品,3-5年,大专,其他;测试,质量;测试;纺织品,测试,测试
测试工程师,电子商务,宁波市,9.6,质量;测试;纺织品,3-5年,大专,其他;测试,质量;测试;纺织品,纺织品,纺织品
测试工程师,通用设备,宁波市,18.75,功能测试;压力测试;性能测试,5-10年,本科,测试,功能测试;压力测试;性能测试,功能测试,功能测试
测试工程师,通用设备,宁波市,18.75,功能测试;压力测试;性能测试,5-10年,本科,测试,功能测试;压力测试;性能测试,压力测试,压力测试
测试工程师,通用设备,宁波市,18.75,功能测试;压力测试;性能测试,5-10年,本科,测试,功能测试;压力测试;性能测试,性能测试,性能测试
智能驾驶测试工程师（学信网统本）,计算机软件,杭州市,10.2,车载测试;学信网统本,1-3年,本科,测试;其他,车载测试;学信网统本,车载测试,车载测试
